 nodeID, x, y, ux, uy, sx, sy, sxy
53241,-115.631,-268.75,-0.359222,0.10319,-0.01094,-0.00841676,0.0126389
53242,-114.504,-269.232,-0.362687,0.0992792,-0.0119735,-0.00840289,0.0130988
53243,-113.376,-269.71,-0.366221,0.0954074,-0.0130369,-0.00836461,0.0135328
53244,-112.245,-270.182,-0.369828,0.0915658,-0.0141269,-0.00830251,0.0139398
53245,-111.112,-270.65,-0.373512,0.0877457,-0.0152401,-0.00821718,0.0143186
53246,-109.977,-271.113,-0.377275,0.0839386,-0.0163731,-0.0081092,0.0146682
53247,-108.841,-271.571,-0.381119,0.080136,-0.0175228,-0.00797914,0.0149877
53248,-107.702,-272.025,-0.385048,0.0763296,-0.0186858,-0.00782758,0.0152759
53249,-106.562,-272.474,-0.389063,0.0725113,-0.0198589,-0.00765506,0.0155322
53250,-105.42,-272.918,-0.393165,0.0686733,-0.021039,-0.00746215,0.0157555
53251,-104.276,-273.357,-0.397355,0.0648078,-0.022223,-0.0072494,0.0159451
53252,-103.13,-273.791,-0.401634,0.0609075,-0.0234078,-0.00701737,0.0161002
53253,-101.982,-274.221,-0.406002,0.0569654,-0.0245904,-0.00676663,0.0162201
53254,-100.832,-274.646,-0.410459,0.0529748,-0.0257679,-0.00649776,0.016304
53255,-99.681,-275.066,-0.415004,0.0489292,-0.0269373,-0.00621136,0.0163512
53256,-98.5279,-275.481,-0.419636,0.0448227,-0.0280958,-0.00590805,0.0163611
53257,-97.3731,-275.891,-0.424353,0.0406499,-0.0292405,-0.00558847,0.0163331
53258,-96.2166,-276.296,-0.429155,0.0364057,-0.0303686,-0.00525332,0.0162665
53259,-95.0584,-276.697,-0.434038,0.0320856,-0.0314773,-0.00490333,0.0161609
53260,-93.8986,-277.093,-0.438999,0.0276855,-0.032564,-0.00453926,0.0160157
53261,-92.7371,-277.484,-0.444037,0.0232022,-0.0336259,-0.00416195,0.0158307
53262,-91.5739,-277.87,-0.449146,0.0186328,-0.0346604,-0.0037723,0.0156053
53263,-90.4092,-278.251,-0.454324,0.0139753,-0.0356649,-0.00337125,0.0153395
53264,-89.2429,-278.627,-0.459566,0.00922828,-0.0366368,-0.00295983,0.0150329
53265,-88.075,-278.999,-0.464868,0.00439132,-0.0375736,-0.00253917,0.0146856
53266,-86.9055,-279.365,-0.470223,-0.000535312,-0.0384728,-0.00211043,0.0142976
53267,-85.7346,-279.727,-0.475627,-0.0055504,-0.0393322,-0.00167491,0.0138692
53268,-84.5621,-280.083,-0.481074,-0.0106517,-0.0401494,-0.00123398,0.0134006
53269,-83.3882,-280.435,-0.486558,-0.0158361,-0.0409222,-0.0007891,0.0128923
53270,-82.2128,-280.782,-0.492071,-0.021099,-0.0416486,-0.000341854,0.0123452
53271,-81.0359,-281.124,-0.497607,-0.0264349,-0.0423266,0.000106081,0.0117599
53272,-79.8576,-281.461,-0.503159,-0.031837,-0.0429545,0.000552916,0.0111378
53273,-78.6779,-281.793,-0.508718,-0.0372969,-0.0435307,0.000996747,0.0104802
53274,-77.4969,-282.12,-0.514276,-0.042805,-0.0440538,0.00143555,0.00978854
53275,-76.3145,-282.442,-0.519826,-0.0483497,-0.0445228,0.0018672,0.00906492
53276,-75.1307,-282.759,-0.525359,-0.0539183,-0.0449369,0.00228942,0.00831149
53277,-73.9456,-283.071,-0.530865,-0.0594957,-0.0452955,0.00269984,0.00753084
53278,-72.7593,-283.379,-0.536335,-0.0650652,-0.0455986,0.00309594,0.00672586
53279,-71.5716,-283.681,-0.541761,-0.0706081,-0.0458465,0.00347508,0.0058999
53280,-70.3827,-283.978,-0.547132,-0.0761033,-0.04604,0.00383448,0.0050567
53281,-69.1926,-284.271,-0.55244,-0.0815275,-0.0461806,0.00417123,0.00420045
53282,-68.0012,-284.558,-0.557674,-0.0868549,-0.0462703,0.00448228,0.00333588
53283,-66.8087,-284.84,-0.562825,-0.092057,-0.0463117,0.00476442,0.00246821
53284,-65.615,-285.118,-0.567884,-0.0971025,-0.0463085,0.00501429,0.00160328
53285,-64.4201,-285.39,-0.57284,-0.101957,-0.046265,0.00522835,0.000747566
