radius_ед. длины,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_ед. длины
288.53898727900605,-2.5444437451708134e-13,-2.4707057045694965e-06,-2.3593388814479329e-07,3.5558350435420665
288.5389872790061,-0.1869548941586552,-2.470278670111723e-06,-2.3592426832540045e-07,3.532319147614731
288.5389872790061,0.18695489415819722,-2.47027867011209e-06,-2.359242683252481e-07,3.582559002683626
288.8013752676471,-2.5444437451708134e-13,-2.471035124690139e-06,-2.44029339631107e-07,3.517475078406086
288.8013752676472,0.18445065811271794,-2.4706196259618365e-06,-2.440201445278054e-07,3.5438268196369833
288.8013752676472,-0.18445065811317593,-2.4706196259610576e-06,-2.4402014452775105e-07,3.4942599184320278
289.0616497171507,-2.5444437451708134e-13,-2.471361680784949e-06,-2.521168224820418e-07,3.4795450389096185
289.0616497171508,-0.18194137055589668,-2.4709575488080736e-06,-2.5210808750762875e-07,3.4566313555824584
289.0616497171508,0.1819413705554387,-2.4709575488096325e-06,-2.521080875083155e-07,3.505523945354865
289.3198443815833,-0.1794272300752576,-2.47129255813126e-06,-2.601874798817798e-07,3.4194264992516654
289.3198443815833,-2.5444437451708134e-13,-2.4716854914410687e-06,-2.60195723868921e-07,3.4420379720527468
289.3198443815834,0.1794272300747996,-2.4712925581331293e-06,-2.601874798827003e-07,3.467643473389574
289.5759966027353,-0.17690838622709731,-2.4716247762780782e-06,-2.682577446423559e-07,3.3826379134182067
289.5759966027353,-2.0355549961366507e-13,-2.4720066780137678e-06,-2.6826547124025077e-07,3.4049464431958127
289.5759966027354,0.17690838622663932,-2.471624776279227e-06,-2.682577446426406e-07,3.4301780079100403
289.8301404848666,-2.0355549961366507e-13,-2.4723253639836516e-06,-2.7632553797912286e-07,3.3682635289466676
289.83014048486666,-0.1743850059673822,-2.4719543277989895e-06,-2.763183508402708e-07,3.346258670773167
289.83014048486666,0.17438500596692422,-2.4719543277995837e-06,-2.763183508401054e-07,3.393120666473616
290.082312756533,-2.0355549961366507e-13,-2.472641671317511e-06,-2.843753891294584e-07,3.331981968551345
290.082312756533,0.1718572162191238,-2.4722813357507844e-06,-2.8436875929664904e-07,3.356464222908109
290.08231275653304,-0.1718572162195818,-2.4722813357500347e-06,-2.8436875929659467e-07,3.3102815110358703
290.33254127881753,-2.0355549961366507e-13,-2.4729557228107172e-06,-2.9241448147000224e-07,3.2960958163119325
290.3325412788176,-0.1693252195179069,-2.472605924002861e-06,-2.924084227239546e-07,3.2747004794604018
290.3325412788176,0.16932521951744892,-2.472605924002754e-06,-2.9240842272336487e-07,3.3202027768947677
290.58086224033264,-0.1667891218266333,-2.4729282196809337e-06,-3.0043686313354047e-07,3.23950847380857
290.58086224033264,-2.0355549961366507e-13,-2.4732676443964254e-06,-3.0044234095357055e-07,3.2605979678083017
290.5808622403327,0.16678912182622618,-2.4729282196805885e-06,-3.004368631328761e-07,3.28432925467169
290.8273071216666,-2.0355549961366507e-13,-2.4735775600898514e-06,-3.084585189206899e-07,3.225482034424096
290.8273071216666,-0.16424906364353256,-2.4732483480029806e-06,-3.084536280802986e-07,3.2046991031028984
290.8273071216666,0.16424906364312544,-2.47324834800321e-06,-3.0845362808027857e-07,3.2488373030177913
291.0719064380828,-2.0355549961366507e-13,-2.4738855932619126e-06,-3.164625521976537e-07,3.190741802539455
291.07190643808286,0.16170518316716606,-2.4735664335182707e-06,-3.164582507644428e-07,3.2137207429949215
291.07190643808286,-0.16170518316757318,-2.4735664335183e-06,-3.1645825076456213e-07,3.170266151266593
291.31469029362205,-2.0355549961366507e-13,-2.4741918669803253e-06,-3.244540003387912e-07,3.1563711537420605
291.3146902936221,0.15915761096205147,-2.4738826004763507e-06,-3.2445028727697454e-07,3.1789734893834143
291.3146902936221,-0.1591576109624586,-2.47388260047654e-06,-3.244502872770551e-07,3.13620349799308
291.5556883830127,0.15660647017926604,-2.4741969725585572e-06,-3.3242932014558806e-07,3.144589550237133
291.5556883830127,-2.0355549961366507e-13,-2.474496503741554e-06,-3.3243244916034806e-07,3.1223640643334543
291.55568838301275,-0.15660647017967316,-2.4741969725585386e-06,-3.3242932014529266e-07,3.102505118241144
